price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_M,price_per_sqft,log_price,log_area,price_segment,premium_score,area_quintile
13300000,7420,4,2,3,1,0,0,0,1,2,1,furnished,13.3,1792.4528301886792,16.40327459319198,8.911934336161426,Eleve,3,Q5
12250000,8960,4,4,4,1,0,0,0,1,3,0,furnished,12.25,1367.1875,16.32103649495501,9.100525505968976,Eleve,2,Q5
12250000,9960,3,2,2,1,0,1,0,0,2,1,semi-furnished,12.25,1229.9196787148594,16.32103649495501,9.206332350578643,Eleve,2,Q5
12215000,7500,4,2,2,1,0,1,0,1,3,1,furnished,12.215,1628.6666666666667,16.31817526267398,8.922658299524402,Eleve,3,Q5
11410000,7420,4,1,2,1,1,1,0,1,2,0,furnished,11.41,1537.7358490566037,16.25000072183826,8.911934336161426,Eleve,3,Q5
10850000,7500,3,3,1,1,0,1,0,1,2,1,semi-furnished,10.85,1446.6666666666667,16.199675637950744,8.922658299524402,Eleve,3,Q5
10150000,8580,4,3,4,1,0,0,0,1,2,1,semi-furnished,10.15,1182.983682983683,16.13298426345207,9.057189192482008,Eleve,3,Q5
10150000,16200,5,3,2,1,0,0,0,0,0,0,unfurnished,10.15,626.5432098765432,16.13298426345207,9.692766521220475,Eleve,1,Q5
9870000,8100,4,1,2,1,1,1,0,1,2,1,furnished,9.87,1218.5185185185185,16.105010411409665,8.99961934066053,Eleve,4,Q5
9800000,5750,3,2,4,1,1,0,0,1,1,1,unfurnished,9.8,1704.3478260869565,16.0978929436408,8.656955133791396,Eleve,4,Q4
9800000,13200,3,1,2,1,0,1,0,1,2,1,furnished,9.8,742.4242424242424,16.0978929436408,9.487972108574462,Eleve,3,Q5
9681000,6000,4,3,2,1,1,1,1,0,2,0,semi-furnished,9.681,1613.5,16.08567575970221,8.699514748210191,Eleve,2,Q4
9310000,6550,4,2,2,1,0,0,0,1,1,1,semi-furnished,9.31,1421.3740458015268,16.04659964925325,8.787220328629298,Eleve,3,Q4
9240000,3500,4,2,2,1,0,0,1,0,2,0,furnished,9.24,2640.0,16.039052443617866,8.160518247477505,Eleve,1,Q2
9240000,7800,3,2,2,1,0,0,0,0,0,1,semi-furnished,9.24,1184.6153846153845,16.039052443617866,8.961879012677683,Eleve,2,Q5
